breed,url,popularity,hypoallergenic,intelligence_rating,puppy_price,lifespan
Boston Terrier,https://www.dogbreedslist.info//all-dog-breeds/boston-terrier.html,#21,No,54,Prices: $1000 - $2000,Lifespan: 12-15 years
Bernese Mountain Dog,https://www.dogbreedslist.info//all-dog-breeds/bernese-mountain-dog.html,#22,No,22,Prices: $1500 - $3000,Lifespan: 7-10 years
Pomeranian,https://www.dogbreedslist.info//all-dog-breeds/pomeranian.html,#23,No,23,Prices: $1500 - $3000,Lifespan: 12-16 years
Havanese,https://www.dogbreedslist.info//all-dog-breeds/havanese.html,#24,Yes,45,Prices: $1500 - $2500,Lifespan: 14-16 years
Cane Corso,https://www.dogbreedslist.info//all-dog-breeds/cane-corso-italiano.html,#25,No,-,Prices: $1500 - $2500,Lifespan: 10-11 years
English Springer Spaniel,https://www.dogbreedslist.info//all-dog-breeds/english-springer-spaniel.html,#26,No,13,Prices: $800 - $1800,Lifespan: 10-14 years
Shetland Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/shetland-sheepdog.html,#27,No,6,Prices: $1000 - $2000,Lifespan: 12-14 years
Brittany,https://www.dogbreedslist.info//all-dog-breeds/french-brittany.html,#28,No,19,Prices: $700 - $1100,Lifespan: 12-15 years
Pug,https://www.dogbreedslist.info//all-dog-breeds/pug.html,#29,No,57,Prices: $800 - $1500,Lifespan: 12-15 years
American Cocker Spaniel,https://www.dogbreedslist.info//all-dog-breeds/american-cocker-spaniel.html,#30,No,20,Prices: $1000 - $2000,Lifespan: 12-15 years
Miniature American Shepherd,https://www.dogbreedslist.info//all-dog-breeds/miniature-american-shepherd.html,#31,-,-,Prices: $800 - $1500,Lifespan: 13-15 years
Border Collie,https://www.dogbreedslist.info//all-dog-breeds/border-collie.html,#32,No,1,Prices: $800 - $1500,Lifespan: 12-15 years
Mastiff,https://www.dogbreedslist.info//all-dog-breeds/english-mastiff.html,#33,No,72,Prices: $1000 - $2000,Lifespan: 10-12 years
Chihuahua,https://www.dogbreedslist.info//all-dog-breeds/chihuahua.html,#34,No,67,Prices: $800 - $2500,Lifespan: 14-18 years
Vizsla,https://www.dogbreedslist.info//all-dog-breeds/vizsla.html,#35,No,25,Prices: $1000 - $1800,Lifespan: 10-14 years
Basset Hound,https://www.dogbreedslist.info//all-dog-breeds/basset-hound.html,#36,No,71,Prices: $800 - $1500,Lifespan: 10-12 years
Belgian Malinois,https://www.dogbreedslist.info//all-dog-breeds/belgian-shepherd-malinois.html,#37,No,22,Prices: $1000 - $1800,Lifespan: 12-14 years
Maltese,https://www.dogbreedslist.info//all-dog-breeds/maltese-dog.html,#38,Yes,59,Prices: $1500 - $2500,Lifespan: 15-18 years
Weimaraner,https://www.dogbreedslist.info//all-dog-breeds/weimaraner.html,#39,No,21,Prices: $700 - $1500,Lifespan: 10-12 years
Collie,https://www.dogbreedslist.info//all-dog-breeds/rough-collie.html,#40,No,16,Prices: $1200 - $1800,Lifespan: 14-16 years
Newfoundland,https://www.dogbreedslist.info//all-dog-breeds/newfoundland.html,#41,No,34,Prices: $1700 - $2500,Lifespan: 9-12 years
Rhodesian Ridgeback,https://www.dogbreedslist.info//all-dog-breeds/rhodesian-ridgeback.html,#42,No,52,Prices: $1000 - $2000,Lifespan: 10-12 years
Shiba Inu,https://www.dogbreedslist.info//all-dog-breeds/shiba-inu.html,#43,No,49,Prices: $1500 - $2500,Lifespan: 12-15 years
West Highland White Terrier,https://www.dogbreedslist.info//all-dog-breeds/west-highland-white-terrier.html,#44,Yes,47,Prices: $1500 - $3000,Lifespan: 12-16 years
Bichon Frise,https://www.dogbreedslist.info//all-dog-breeds/bichon-frise.html,#45,Yes,45,Prices: $1000 - $2000,Lifespan: 12-15 years
Bloodhound,https://www.dogbreedslist.info//all-dog-breeds/bloodhound.html,#46,No,74,Prices: $700 - $1200,Lifespan: 10-12 years
English Cocker Spaniel,https://www.dogbreedslist.info//all-dog-breeds/english-cocker-spaniel.html,#47,No,18,Prices: $1000 - $1800,Lifespan: 12-14 years
Akita,https://www.dogbreedslist.info//all-dog-breeds/american-akita.html,#48,No,54,Prices: $1000 - $2500,Lifespan: 10-14 years
Portuguese Water Dog,https://www.dogbreedslist.info//all-dog-breeds/portuguese-water-dog.html,#49,Yes,29,Prices: $2000 - $3000,Lifespan: 10-14 years
Chesapeake Bay Retriever,https://www.dogbreedslist.info//all-dog-breeds/chesapeake-bay-retriever.html,#50,No,27,Prices: $800 - $1500,Lifespan: 10-13 years
Dalmatian,https://www.dogbreedslist.info//all-dog-breeds/dalmatian.html,#51,No,39,Prices: $1000 - $1600,Lifespan: 12-14 years
St. Bernard,https://www.dogbreedslist.info//all-dog-breeds/st-bernard.html,#52,No,65,Prices: $1000 - $2000,Lifespan: 8-10 years
Papillon,https://www.dogbreedslist.info//all-dog-breeds/papillon-dog.html,#53,No,8,Prices: $1000 - $2000,Lifespan: 13-16 years
Australian Cattle Dog,https://www.dogbreedslist.info//all-dog-breeds/australian-cattle-dog.html,#54,No,10,Prices: $400 - $1000,Lifespan: 12-15 years
Bullmastiff,https://www.dogbreedslist.info//all-dog-breeds/bullmastiff.html,#55,No,69,Prices: $1500 - $2500,Lifespan: 8-10 years
Samoyed,https://www.dogbreedslist.info//all-dog-breeds/samoyed.html,#56,Yes,33,Prices: $1500 - $3000,Lifespan: 12-14 years
Scottish Terrier,https://www.dogbreedslist.info//all-dog-breeds/scottish-terrier.html,#57,Yes,65,Prices: $1400 - $2000,Lifespan: 11-13 years
Soft Coated Wheaten Terrier,https://www.dogbreedslist.info//all-dog-breeds/soft-coated-wheaten-terrier.html,#58,Yes,40,Prices: $1800 - $3000,Lifespan: 12-15 years
Whippet,https://www.dogbreedslist.info//all-dog-breeds/whippet.html,#59,No,51,Prices: $2000 - $2500,Lifespan: 12-15 years
German Wirehaired Pointer,https://www.dogbreedslist.info//all-dog-breeds/german-wirehaired-pointer.html,#60,No,44,Prices: $800 - $1200,Lifespan: 12-14 years
Shar-Pei,https://www.dogbreedslist.info//all-dog-breeds/shar-pei.html,#61,No,51,Prices: $1000 - $1500,Lifespan: 9-11 years
Airedale Terrier,https://www.dogbreedslist.info//all-dog-breeds/airedale-terrier.html,#62,Yes,29,Prices: $800 - $1500,Lifespan: 10-13 years
Wirehaired Pointing Griffon,https://www.dogbreedslist.info//all-dog-breeds/wirehaired-pointing-griffon.html,#63,Yes,46,Prices: $1000 - $2000,Lifespan: 12-14 years
Bull Terrier,https://www.dogbreedslist.info//all-dog-breeds/bull-terrier.html,#64,No,66,Prices: $1200 - $2000,Lifespan: 10-12 years
Alaskan Malamute,https://www.dogbreedslist.info//all-dog-breeds/alaskan-malamute.html,#65,No,50,Prices: $1200 - $2000,Lifespan: 12-15 years
Cardigan Welsh Corgi,https://www.dogbreedslist.info//all-dog-breeds/cardigan-welsh-corgi.html,#66,No,26,Prices: $1200 - $2200,Lifespan: 12-15 years
Giant Schnauzer,https://www.dogbreedslist.info//all-dog-breeds/giant-schnauzer.html,#67,Yes,28,Prices: $2000 - $3000,Lifespan: 10-12 years
Old English Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/old-english-sheepdog.html,#68,No,63,Prices: $1800 - $3000,Lifespan: 10-12 years
Italian Greyhound,https://www.dogbreedslist.info//all-dog-breeds/italian-greyhound.html,#69,Yes,60,Prices: $1400 - $2000,Lifespan: 12-15 years
Great Pyrenees,https://www.dogbreedslist.info//all-dog-breeds/great-pyrenees.html,#70,No,64,Prices: $800 - $1500,Lifespan: 10-12 years
Dogue de Bordeaux,https://www.dogbreedslist.info//all-dog-breeds/dogue-de-bordeaux.html,#71,No,-,Prices: $1800 - $2500,Lifespan: 10-12 years
Jack Russell Terrier,https://www.dogbreedslist.info//all-dog-breeds/jack-russell-terrier.html,#72,No,46,Prices: $800 - $1500,Lifespan: 13-16 years
Cairn Terrier,https://www.dogbreedslist.info//all-dog-breeds/cairn-terrier.html,#73,Yes,35,Prices: $1200 - $2000,Lifespan: 12-15 years
Irish Wolfhound,https://www.dogbreedslist.info//all-dog-breeds/irish-wolfhound.html,#74,No,41,Prices: $1500 - $2500,Lifespan: 6-10 years
Irish Setter,https://www.dogbreedslist.info//all-dog-breeds/irish-setter.html,#75,No,35,Prices: $1200 - $2500,Lifespan: 12-14 years
Greater Swiss Mountain Dog,https://www.dogbreedslist.info//all-dog-breeds/greater-swiss-mountain-dog.html,#76,No,-,Prices: $1200 - $2800,Lifespan: 10-12 years
Miniature Pinscher,https://www.dogbreedslist.info//all-dog-breeds/miniature-pinscher.html,#77,No,37,Prices: $1000 - $2000,Lifespan: 12-15 years
Lhasa Apso,https://www.dogbreedslist.info//all-dog-breeds/lhasa-apso.html,#78,No,68,Prices: $1500 - $2500,Lifespan: 12-15 years
Chinese Crested,https://www.dogbreedslist.info//all-dog-breeds/chinese-crested.html,#79,Yes,61,Prices: $1000 - $2000,Lifespan: 12-14 years
Coton De Tulear,https://www.dogbreedslist.info//all-dog-breeds/coton-de-tulear.html,#80,Yes,60,Prices: $1500 - $2500,Lifespan: 14-16 years
